filename,T,r,c,g,a,t,avg,avg_ref,tp,tn,fp,fn,bacc,acc,precision,tp_rate/recall,fn_rate/missrate,fp_rate/fall-out,tn_rate/specificity,mcc
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,1,1,5,05,1,mean,mean,13580,14999,1081,2500,0.888650497512,0.888650497512,0.926266966783,0.844527363184,0.155472636816,0.0672263681592,0.932773631841,0.780345365830208,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,1,1,5,05,1,mean,mean,2547,15675,405,13533,0.566604477612,0.566604477612,0.862804878049,0.158395522388,0.841604477612,0.0251865671642,0.974813432836,0.2306802322290642,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,1,1,5,05,1,mean,mean,706,15928,152,15374,0.517226368159,0.517226368159,0.822843822844,0.0439054726368,0.956094527363,0.00945273631841,0.990547263682,0.10690058387113772,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,1,1,5,05,1,mean,mean,298,15983,97,15782,0.50625,0.50625,0.754430379747,0.0185323383085,0.981467661692,0.00603233830846,0.993967661692,0.0567444093436446,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,1,1,5,05,1,mean,mean,141,15999,81,15939,0.501865671642,0.501865671642,0.635135135135,0.00876865671642,0.991231343284,0.00503731343284,0.994962686567,0.022533097966840342,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,1,1,5,05,1,mean,mean,97,16025,55,15983,0.501305970149,0.501305970149,0.638157894737,0.00603233830846,0.993967661692,0.00342039800995,0.99657960199,0.019041371542687095,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,1,1,10,05,1,mean,mean,13252,14863,1212,2823,0.874494556765,0.874494556765,0.916205752212,0.824385692068,0.175614307932,0.0753965785381,0.924603421462,0.7527789562895346,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,1,1,10,05,1,mean,mean,2898,15680,395,13177,0.577853810264,0.577853810264,0.880048587914,0.180279937792,0.819720062208,0.0245723172628,0.975427682737,0.25676711090536614,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,1,1,10,05,1,mean,mean,774,15926,149,15301,0.519440124417,0.519440124417,0.838569880823,0.0481493001555,0.951850699844,0.00926905132193,0.990730948678,0.11641636513698947,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,1,1,10,05,1,mean,mean,279,15979,96,15796,0.505692068429,0.505692068429,0.744,0.0173561430793,0.982643856921,0.00597200622084,0.994027993779,0.05301425665177142,
